,Groundnut_Production_241,NetAreaIrrigatedUnderDifferentSources_TubeWells_GrossIrrigatedArea_181,NetAreaIrrigatedUnderDifferentSources_TotalGrossIrrigatedArea_188,NetAreaIrrigatedUnderDifferentSources_TotalNetIrrigatedArea_189,AreaUnderOilSeeds_GroundNut_210,MotorVehicles_Tractors_514,MotorVehicles_Trailers_515,Rural_AnthyodayaBPLCardHolders_32,Total_AnthyodayaBPLCardHolders_33,RuralBPLPriorityCardHoldersAkshayaWithoutCylinder_38,TotalBPLPriorityCardHoldersAkshayaWithoutCylinder_39,LivestockCensus_2012_Buffaloes_355,LivestockCensus_2012_Sheep_359,LivestockCensus_2012_Goats_360,SemiMediumAgricultureLandHoldings_TotalNumber_1073,SemiMediumAgricultureLandHoldings_TotalArea_1077,MediumAgricultureLandHoldings_TotalNumber_1105,MediumAgricultureLandHoldings_TotalArea_1109,LargeAgricultureLandHoldings_TotalNumber_1137,LargeAgricultureLandHoldings_TotalArea_1141,TotalNPK_315,SowingSeedsDistributed_Groundnut_328,TotalAgricultureLoan
0,71,5.119806731742353,5.217159087199243,4.409598119552088,72,6.785922757990272,5.168946492115831,2864,19470,0,876,8453,77302,44725,3.258522411935621,8.721380301002252,1.2864418399660476,6.934732787045803,0.10476967777741504,1.5784989063367179,10.806111455714799,8.25,12.388434918873038
1,206,17.439686065452392,18.100118465867023,16.05857396712572,175,0.7481341625944025,0.6764475048126759,5514,6683,0,0,24381,124870,80740,9.98732415222864,26.27544794905968,2.7301939878572488,14.932178291129869,0.24327706204649785,3.6194135939582406,14.687375981045461,10.65,18.31491152080557
2,4830,334.33872372398014,488.50403852393237,465.6713512405868,3307,156.8046139922474,46.448916514403784,10203,11924,76947,76947,30619,152938,120238,225.61884189136117,583.5325557965199,56.51124468502929,307.45086320247265,3.780246238964499,54.476784890968396,102.7127269001554,217.8,160.18346681238367
3,68575,8067.372181274254,8230.617902217891,7225.86385440149,96711,1423.8611990518043,897.1237156128306,23341,26262,113883,113883,152852,940038,231279,4601.1392477886975,12163.070196408742,2052.636833732883,11707.805381970431,319.5969722087549,4783.383062957592,2748.9016660448133,32035.0,9986.332908462487
4,16592,713.7699382103872,1515.315379086098,1254.7361368845484,15279,233.17148029972614,157.9858098576553,28174,34637,215590,308480,175896,343178,103187,331.0058695351742,877.4233357699192,112.06104386115112,617.514686006378,10.556422895098464,143.51399240515352,718.5001386333274,49693.5,1220.337629083273
5,5810,822.3192488262912,822.3192488262912,661.8779342723005,8608,553.9201877934273,289.62910798122067,16528,19271,70246,70246,45876,445100,86263,713.5399061032864,1892.9248826291082,202.50704225352115,1112.2441314553992,17.089201877934272,235.1737089201878,729.2488262910799,3015.5,1063.5234741784038
6,7132,1142.2917817528169,1142.2917817528169,984.3670261738787,19535,223.00202770836074,134.04354640712,13820,14961,105184,105189,47140,432691,137050,398.5738633872594,1052.3366215090534,130.46722784865622,724.0579376561883,15.223782278924986,238.73392082072866,554.1730347669779,6536.9,920.6557904774431
7,248,8.66710199859642,33.03626781208298,28.348578896051354,438,3.618216608265506,2.411404937574865,11056,15364,14,16,149515,36791,58034,4.900454008374312,12.964755190845343,1.602695913599352,8.885715610065112,0.18674926588561722,2.713712874467457,11.416511007039853,30.0,14.136274073706629
8,39626,6963.276394807275,7560.457763355935,6770.700548427175,64771,1131.991029652103,974.9525514675325,27058,29170,177201,177227,181118,1061330,326890,3031.981701868356,8209.51601032688,1242.8266629918242,6976.67223347882,150.46854456859,2196.9602040398863,1627.4664128728584,31094.2,5150.964473029742
9,3909,270.12751602912573,493.0998771737023,403.2998607185045,5851,121.61711105495449,83.6203785870862,11343,12819,125613,143108,70870,91312,46068,207.14421805487808,545.1941478264447,75.32725862281748,424.7716136084486,14.962840637286304,370.87782015644194,519.6638967083728,1485.3,901.9154667105472
