,SowingSeedsDistributed_Maize_320,LivestockCensus_2012_Cattle_354,LivestockCensus_2012_Buffaloes_355,RuralRationCardHolders_47,TotalBPLPriorityCardHoldersAkshayaWithoutCylinder_39,RuralRationShops_29,PWDRoadLength_MajorDistrictRoads_521,MotorVehicles_Trailers_515,NetAreaIrrigatedUnderDifferentSources_OtherSources_GrossIrrigatedArea_186,NetAreaIrrigatedUnderDifferentSources_OtherSources_NetIrrigatedArea_187,NetAreaIrrigatedUnderDifferentSources_TotalGrossIrrigatedArea_188,NetAreaIrrigatedUnderDifferentSources_TotalNetIrrigatedArea_189,NetAreaIrrigatedUnderDifferentSources_TubeWells_GrossIrrigatedArea_181,NetAreaIrrigated_Wells_GrossIrrigatedArea_178,NetAreaIrrigated_Wells_NetAreaIrrigated_179,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea_182,NetAreaIrrigatedUnderDifferentSources_LiftIrrigation_No_183,AreaUnderCereals_Maize_193,MotorVehicles_Tractors_514,TotalAgricultureLoan,TotalNPK_315,Maize_Production_226,District
0,4.45,2567.461578139793,158.89906957004342,185642,876,242,722.59,209.59714015213345,0.0,0.0,211.55212693023407,178.80609839704874,207.60455747445397,0.0,0.0,175.7232346315824,0.0,21.22288531226535,275.16438901766185,98.02510482844177,438.1802095915902,54.11929744376612,BENGALURU
1,134.73,25037.139271434917,3843.536661483785,172962,0,317,669.1,139.83089367688436,0.0,0.0,3741.5405079224047,3319.5255108840515,3605.020154005627,131.00278764993337,116.81476010661927,3197.193184510588,0.15764475048126758,2343.704505405005,154.6495002221235,3429.301432881682,3036.080249518732,6712.986409743818,BENGALURU(R)
2,260.15,7729.614276850919,910.6417524746277,222434,76947,444,1548.45,100.49506782101854,0.0,0.0,1056.908323514512,1007.5084100339817,723.3622490508473,0.0,0.0,709.8598043066205,0.11896427087424509,59.09550155678125,339.25635946562846,928.0358159298281,222.22525799308983,310.7941576589653,RAMANAGARA
3,5004.0,83821.5930925161,46440.04707464694,300758,113883,527,2095.92,3558.0783456624076,0.0,0.0,32643.416754731483,28658.466231146125,31995.968632913824,0.0,0.0,28105.507253338455,32.509126717263904,28010.714285714286,5647.169516764338,37647.33395378999,10902.40657123643,82632.42746661542,CHITRADURGA
4,6124.6,85657.63209061667,45371.783043623,286084,308480,615,1603.9,5651.61098879895,575.4789646741422,478.23307956336157,54207.22946988181,44885.5536180691,25533.62248102375,221.83411457631658,221.83411457631658,20213.730877509854,402.9126592653564,44727.948218061974,8341.22065471436,27344.83353987816,25702.835480049405,153102.68337451774,DAVANAGERE
5,51.5,2278.8298206912154,456.450500593925,227178,70246,468,1205.98,87.68633406866904,0.0,0.0,248.96033712314045,200.3861078115278,248.96033712314045,0.0,0.0,200.3861078115278,0.0,6.367780983087279,167.70148198427515,772.9431449742632,220.78290627297926,17.501448045703942,KOLAR
6,3538.15,71206.94530941734,13626.325518435706,232985,105189,462,993.34,1982.6679408347584,0.0,0.0,16895.892084813015,14559.991861765093,16895.892084813015,0.0,0.0,14559.991861765093,6.070276535578062,17163.562373953264,3298.4726451181555,17213.260595132404,8196.896748542242,30493.31152450787,CHIKKABALLAPURA
7,3814.02,104722.00036268626,27542.956754950137,246381,16,424,2106.13,2202.6628359625374,949.8142997593748,832.469127349227,30176.499274220896,25894.597880968973,7916.838507846953,1278.822899326916,1178.9781843405738,5958.813645135085,764.8620970909473,8073.605763295988,3305.007438320974,18792.92699561605,10428.246255833677,41730.66969609982,SHIVAMOGGA
8,1639.85,37944.09375585409,13038.87052855288,492369,177227,899,3785.75,1645.2109022240693,0.0,0.0,12758.105529704857,11425.407668506241,11750.375156916492,64.86391383642788,64.86391383642788,10417.677295717876,0.6479192281108224,1742.6867505420753,1910.2098665213955,10614.829757998705,2746.313634885739,4813.895882812719,TUMAKURU
9,2923.79,40572.445630263464,8517.694450484547,215369,143108,455,1632.82,1312.448474661934,1745.2439835683097,1636.4742152927556,7739.359622470748,6329.919763280226,4239.7373985507675,20.792452941072764,20.792452941072764,3145.7899611539797,489.7644262131301,3104.5656180395986,1908.8192925440324,9537.739741124478,8156.2903695954965,7373.869163547036,CHIKKAMAGALURU
