,Sowing Seeds,Cattle,Buffaloes,Gross Irrigated Area,Net Irrigated Area,Area (Maize),Tractors Count,Total Loan,Total NPK
0,4.45,2567.461578139793,158.89906957004342,211.55212693023407,178.80609839704874,21.22288531226535,275.16438901766185,98.02510482844177,438.1802095915902
1,134.73,25037.139271434917,3843.536661483785,3741.5405079224047,3319.5255108840515,2343.704505405005,154.6495002221235,3429.301432881682,3036.080249518732
2,260.15,7729.614276850919,910.6417524746277,1056.908323514512,1007.5084100339817,59.09550155678125,339.25635946562846,928.0358159298281,222.22525799308983
3,5004.0,83821.5930925161,46440.04707464694,32643.416754731483,28658.466231146125,28010.714285714286,5647.169516764338,37647.33395378999,10902.40657123643
4,6124.6,85657.63209061667,45371.783043623,54207.22946988181,44885.5536180691,44727.948218061974,8341.22065471436,27344.83353987816,25702.835480049405
5,51.5,2278.8298206912154,456.450500593925,248.96033712314045,200.3861078115278,6.367780983087279,167.70148198427515,772.9431449742632,220.78290627297926
6,3538.15,71206.94530941734,13626.325518435706,16895.892084813015,14559.991861765093,17163.562373953264,3298.4726451181555,17213.260595132404,8196.896748542242
7,3814.02,104722.00036268626,27542.956754950137,30176.499274220896,25894.597880968973,8073.605763295988,3305.007438320974,18792.92699561605,10428.246255833677
8,1639.85,37944.09375585409,13038.87052855288,12758.105529704857,11425.407668506241,1742.6867505420753,1910.2098665213955,10614.829757998705,2746.313634885739
9,2923.79,40572.445630263464,8517.694450484547,7739.359622470748,6329.919763280226,3104.5656180395986,1908.8192925440324,9537.739741124478,8156.2903695954965
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,94.49900772836865,3.3163334445411303,12.576649114178307,11.630035735536394,0.0029991711006476423,1.6225515654503744,10.475212401159771,2.304862990847713
12,8925.33,151008.14025035864,35174.64288547747,24342.424560589836,20897.2696806242,19685.389888719543,5749.643779509006,27262.912929455764,17039.273893533446
13,246.41,7599.582730293919,1244.0806034710133,133.63811400921705,133.63811400921705,296.324255372206,587.4061152752402,4369.833119691934,3519.022414363608
14,794.03,8774.134623334794,3481.42273504168,3621.166750788254,3069.2484663750174,117.03950094713915,277.26303689214956,2296.4150137165493,1448.8303553468627
15,1573.43,61547.7274444302,5086.754725300928,16825.746849459145,15067.742733933732,4175.553764358407,2252.4672721823963,11364.082655036496,6945.331414932335
16,2054.6,80396.92668339919,6396.657807542887,23701.65833768213,22132.73613975796,11811.782208029952,1128.533730109424,9059.660534860797,7289.68477009352
17,11883.58,159047.08619222807,222505.97027366594,139266.5718400362,114221.80612993422,35188.81871662207,12459.604605242044,77091.61832893218,48288.81512653903
18,2682.76,48619.507079860894,30141.116018365694,59085.118988188624,54355.081299114994,7725.894758067255,4769.044743464352,42046.9240991622,10420.071652709008
19,5678.15,75578.0519987835,63510.82714034094,68661.16512544853,62974.18145143524,11982.562509335967,6523.328669021569,59702.34952042951,22940.52125376528
20,2471.35,33424.645600479584,13714.935136215281,9216.654434727998,6312.15085973109,5329.839091834696,2465.0074582980465,13534.020733954383,6447.725407503973
21,4111.0,34261.98176791555,14647.95489848517,22817.704096322017,20360.967132990845,8205.054734410285,6710.453686134805,19805.42130545332,5591.244159385049
22,11325.6,95150.6402686615,32919.87690471686,40663.40971605711,32986.07237560216,57067.18231433104,5245.48958682016,34499.728770357004,21731.170722300652
23,1469.2,22563.77107559554,5880.488850957837,2761.919953741414,2624.376407008843,306.42612942952377,310.57788205728394,4798.404170834296,1025.6168265608799
24,5718.01,46893.695806229356,19387.703034248603,35554.366572441315,27191.71177520048,13593.266408442034,3271.0573303223136,29539.722001904593,16808.309215921032
25,24.55,2371.831677930172,1322.6668997880165,457.54943924048337,380.2916384324099,13.976997082963418,53.157088761255956,1302.1967683583061,249.38118239631837
26,165.0,6221.617909951072,1200.0150507267233,1414.3513572096704,1289.4500602604692,34.63782018995539,215.02012070082026,1956.730439361779,710.1016144409267
27,0.0,1253.317143503848,309.9945903123585,562.6086192847442,520.8740018107742,3.8761928474422818,39.93971027614305,209.08962684472613,368.61746944318696
28,14.35,188.53747925080708,71.84735129200486,101.10151964692606,90.0005489550249,1.3649810261973536,13.4461130934487,78.03171807674042,61.54751946394106
29,5292.0,38936.40017227125,11641.6858061697,20145.828137427186,18024.577218699604,7208.3954882538055,2439.7301220045083,10689.809780668527,10997.550403485664
