,AreaUnderCereals_Paddy_190,TotalNPK_315,NetAreaIrrigated_Canals_NetAreaIrrigated_173
0,782,513.8229897815938,0.0
1,736,167.8353546571894,0.0
2,4468,257.90889272154965,272.5094630670014
3,1297,183.0329567212632,9.28324549193788
4,98259,21197.529554104807,18037.386429318296
5,395,108.44595282538606,0.0
6,1333,209.64089284931387,0.0
7,109617,17722.015759774844,13305.677786605493
8,10379,1069.5624166969912,114.92440877741866
9,33036,14694.29764514366,1344.644185732168
10,48689,8898.49778669998,0.0
11,49608,2921.382122601437,0.0
12,42818,7332.607212948023,3867.912533293168
13,28336,16946.7212447309,507.4042114450407
14,58487,18424.66510023632,27586.79669025773
15,93521,17937.675249115855,26552.468391703296
16,13881,2260.3612567613463,1997.983482849167
17,61230,14865.464724108304,4947.776905039559
18,51,7.826782403162378,12.617706189593225
19,32,7.747127746117581,0.185064387275789
20,23909,2417.9859531263382,1020.662913094366
21,1706,293.0561982496366,384.4096703586406
22,44968,6591.662843892051,520.6319447476468
23,66147,6513.6120783838405,0.0
24,93665,33297.64100335596,20953.14180239397
25,1548,181.92048991719963,0.0
26,4199,383.0983882573032,148.02060728162326
27,49358,30981.3812449072,30897.3078602686
28,115246,41912.07306765653,39866.07320271689
29,50753,14075.849457565631,7221.642581176537
